bri,watt
1,0.17
2,0.17
3,0.94
4,1.0
5,1.09
6,1.09
7,1.1
8,1.12
9,1.11
10,1.23
11,1.2
12,1.25
13,1.28
14,1.29
15,1.25
16,1.3
17,1.34
18,1.47
19,1.45
20,1.47
21,1.54
22,1.56
23,1.65
24,1.61
25,1.66
26,1.74
27,1.75
28,1.86
29,1.83
30,1.88
31,1.99
32,1.95
33,2.0
34,2.08
35,2.06
36,2.12
37,2.12
38,2.25
39,2.3
40,2.37
41,2.42
42,2.42
43,2.42
44,2.48
45,2.54
46,2.65
47,2.65
48,2.58
49,2.68
50,2.74
51,2.83
52,2.9
53,2.94
54,3.06
55,3.04
56,3.12
57,3.15
58,3.18
59,3.21
60,3.35
61,3.4
62,3.46
63,3.4
64,3.48
65,3.49
66,3.5
67,3.6
68,3.6
69,3.74
70,3.75
71,3.79
72,3.89
73,3.97
74,3.98
75,4.05
76,4.11
77,4.21
78,4.21
79,4.38
80,4.36
81,4.34
82,4.43
83,4.46
84,4.56
85,4.56
86,4.58
87,4.72
88,4.7
89,4.92
90,4.89
91,4.92
92,4.97
93,4.97
94,5.02
95,5.08
96,5.13
97,5.16
98,5.25
99,5.26
100,5.37
101,5.34
102,5.41
103,5.39
104,5.45
105,5.5
106,5.62
107,5.67
108,5.71
109,5.75
110,5.79
111,5.95
112,5.98
113,6.01
114,6.04
115,6.08
116,6.1
117,6.2
118,6.21
119,6.24
120,6.31
121,6.36
122,6.34
123,6.46
124,6.54
125,6.61
126,6.59
127,6.59
128,6.68
129,6.75
130,6.84
131,6.78
132,6.86
133,6.97
134,6.95
135,7.1
136,7.12
137,7.16
138,7.2
139,7.21
140,7.26
141,7.34
142,7.4
143,7.43
144,7.51
145,7.51
146,7.58
147,7.66
148,7.7
149,7.69
150,7.76
151,7.8
152,7.91
153,7.92
154,7.96
155,7.95
156,8.06
157,8.15
158,8.23
159,8.21
160,8.29
161,8.29
162,8.36
163,8.44
164,8.48
165,8.57
166,8.59
167,8.63
168,8.68
169,8.71
170,8.72
171,8.76
172,8.79
173,8.91
174,8.99
175,9.0
176,9.11
177,9.12
178,9.14
179,9.19
180,9.21
181,9.41
182,9.42
183,9.45
184,9.49
185,9.54
186,9.54
187,9.57
188,9.61
189,9.76
190,9.77
191,9.86
192,9.86
193,9.9
194,9.99
195,9.99
196,9.97
197,10.1
198,10.16
199,10.19
200,10.2
201,10.28
202,10.3
203,10.39
204,10.41
205,10.39
206,10.46
207,10.46
208,10.49
209,10.49
210,10.55
211,10.63
212,10.6
213,10.61
214,10.62
215,10.6
216,10.61
217,10.57
218,10.56
219,10.52
220,10.52
221,10.48
222,10.43
223,10.46
224,10.36
225,10.37
226,10.36
227,10.32
228,10.21
229,10.26
230,10.24
231,10.15
232,10.07
233,10.1
234,10.06
235,10.05
236,10.05
237,10.02
238,9.97
239,9.96
240,9.96
241,9.94
242,9.86
243,9.87
244,9.89
245,9.91
246,9.85
247,9.84
248,9.82
249,9.82
250,9.82
251,9.81
252,9.77
253,9.76
254,9.76
255,9.72
