bri,mired,watt
1,153,1.08
1,163,1.09
1,173,1.09
1,183,1.12
1,193,1.1
1,203,1.11
1,213,1.07
1,223,1.07
1,233,1.08
1,243,1.1
1,253,1.1
1,263,1.1
1,273,1.07
1,283,1.06
1,293,1.12
1,303,1.09
1,313,1.05
1,323,1.07
1,333,1.07
1,343,1.08
1,353,1.07
1,363,1.09
1,373,1.1
1,383,1.06
1,393,1.05
1,403,1.07
1,413,1.09
1,423,1.1
1,433,1.12
1,443,1.1
1,453,1.11
1,454,1.11
6,153,1.08
6,163,1.07
6,173,1.09
6,183,1.09
6,193,1.06
6,203,1.05
6,213,1.04
6,223,1.09
6,233,1.06
6,243,1.11
6,253,1.1
6,263,1.08
6,273,1.08
6,283,1.09
6,293,1.1
6,303,1.12
6,313,1.14
6,323,1.11
6,333,1.11
6,343,1.11
6,353,1.08
6,363,1.03
6,373,1.04
6,383,1.06
6,393,1.09
6,403,1.06
6,413,1.1
6,423,1.08
6,433,1.08
6,443,1.12
6,453,1.11
6,454,1.07
11,153,1.05
11,163,1.1
11,173,1.07
11,183,1.05
11,193,1.09
11,203,1.09
11,213,1.11
11,223,1.11
11,233,1.1
11,243,1.12
11,253,1.08
11,263,1.11
11,273,1.1
11,283,1.09
11,293,1.08
11,303,1.03
11,313,1.03
11,323,1.12
11,333,1.14
11,343,1.11
11,353,1.12
11,363,1.12
11,373,1.12
11,383,1.11
11,393,1.06
11,403,1.06
11,413,1.02
11,423,1.05
11,433,1.1
11,443,1.07
11,453,1.08
11,454,1.11
16,153,1.08
16,163,1.06
16,173,1.12
16,183,1.08
16,193,1.08
16,203,1.15
16,213,1.11
16,223,1.09
16,233,1.1
16,243,1.12
16,253,1.1
16,263,1.11
16,273,1.13
16,283,1.09
16,293,1.09
16,303,1.15
16,313,1.09
16,323,1.09
16,333,1.05
16,343,1.1
16,353,1.14
16,363,1.12
16,373,1.09
16,383,1.12
16,393,1.13
16,403,1.1
16,413,1.17
16,423,1.09
16,433,1.1
16,443,1.07
16,453,1.08
16,454,1.09
21,153,1.12
21,163,1.08
21,173,1.1
21,183,1.09
21,193,1.09
21,203,1.13
21,213,1.12
21,223,1.13
21,233,1.11
21,243,1.12
21,253,1.16
21,263,1.13
21,273,1.11
21,283,1.09
21,293,1.07
21,303,1.12
21,313,1.11
21,323,1.12
21,333,1.06
21,343,1.11
21,353,1.08
21,363,1.09
21,373,1.08
21,383,1.08
21,393,1.1
21,403,1.16
21,413,1.12
21,423,1.11
21,433,1.12
21,443,1.11
21,453,1.1
21,454,1.1
26,153,1.15
26,163,1.14
26,173,1.11
26,183,1.12
26,193,1.15
26,203,1.11
26,213,1.12
26,223,1.15
26,233,1.14
26,243,1.13
26,253,1.12
26,263,1.15
26,273,1.15
26,283,1.16
26,293,1.17
26,303,1.14
26,313,1.12
26,323,1.12
26,333,1.16
26,343,1.13
26,353,1.15
26,363,1.11
26,373,1.16
26,383,1.14
26,393,1.12
26,403,1.16
26,413,1.15
26,423,1.13
26,433,1.14
26,443,1.1
26,453,1.12
26,454,1.08
31,153,1.15
31,163,1.14
31,173,1.12
31,183,1.15
31,193,1.19
31,203,1.2
31,213,1.16
31,223,1.14
31,233,1.16
31,243,1.16
31,253,1.15
31,263,1.15
31,273,1.13
31,283,1.17
31,293,1.13
31,303,1.14
31,313,1.15
31,323,1.17
31,333,1.17
31,343,1.15
31,353,1.15
31,363,1.18
31,373,1.11
31,383,1.19
31,393,1.15
31,403,1.16
31,413,1.19
31,423,1.12
31,433,1.11
31,443,1.09
31,453,1.14
31,454,1.09
36,153,1.14
36,163,1.2
36,173,1.17
36,183,1.17
36,193,1.19
36,203,1.13
36,213,1.19
36,223,1.2
36,233,1.17
36,243,1.2
36,253,1.18
36,263,1.18
36,273,1.19
36,283,1.23
36,293,1.22
36,303,1.24
36,313,1.22
36,323,1.17
36,333,1.15
36,343,1.18
36,353,1.17
36,363,1.18
36,373,1.18
36,383,1.17
36,393,1.16
36,403,1.17
36,413,1.15
36,423,1.16
36,433,1.17
36,443,1.16
36,453,1.16
36,454,1.18
41,153,1.2
41,163,1.21
41,173,1.18
41,183,1.17
41,193,1.19
41,203,1.22
41,213,1.22
41,223,1.2
41,233,1.23
41,243,1.25
41,253,1.23
41,263,1.24
41,273,1.26
41,283,1.22
41,293,1.2
41,303,1.21
41,313,1.23
41,323,1.2
41,333,1.21
41,343,1.21
41,353,1.2
41,363,1.18
41,373,1.23
41,383,1.21
41,393,1.21
41,403,1.2
41,413,1.18
41,423,1.16
41,433,1.17
41,443,1.16
41,453,1.16
41,454,1.16
46,153,1.17
46,163,1.21
46,173,1.2
46,183,1.22
46,193,1.25
46,203,1.22
46,213,1.2
46,223,1.25
46,233,1.24
46,243,1.23
46,253,1.28
46,263,1.26
46,273,1.27
46,283,1.29
46,293,1.25
46,303,1.29
46,313,1.29
46,323,1.25
46,333,1.29
46,343,1.29
46,353,1.25
46,363,1.26
46,373,1.29
46,383,1.22
46,393,1.24
46,403,1.24
46,413,1.21
46,423,1.19
46,433,1.18
46,443,1.17
46,453,1.19
46,454,1.19
51,153,1.22
51,163,1.22
51,173,1.25
51,183,1.24
51,193,1.25
51,203,1.27
51,213,1.27
51,223,1.26
51,233,1.25
51,243,1.28
51,253,1.28
51,263,1.31
51,273,1.3
51,283,1.29
51,293,1.27
51,303,1.32
51,313,1.25
51,323,1.28
51,333,1.26
51,343,1.26
51,353,1.28
51,363,1.3
51,373,1.28
51,383,1.29
51,393,1.28
51,403,1.29
51,413,1.27
51,423,1.22
51,433,1.22
51,443,1.23
51,453,1.26
51,454,1.25
56,153,1.26
56,163,1.26
56,173,1.27
56,183,1.3
56,193,1.32
56,203,1.31
56,213,1.31
56,223,1.32
56,233,1.34
56,243,1.32
56,253,1.33
56,263,1.32
56,273,1.34
56,283,1.34
56,293,1.33
56,303,1.33
56,313,1.32
56,323,1.33
56,333,1.35
56,343,1.34
56,353,1.33
56,363,1.35
56,373,1.3
56,383,1.33
56,393,1.32
56,403,1.27
56,413,1.29
56,423,1.25
56,433,1.25
56,443,1.24
56,453,1.25
56,454,1.25
61,153,1.29
61,163,1.3
61,173,1.3
61,183,1.32
61,193,1.3
61,203,1.33
61,213,1.34
61,223,1.33
61,233,1.38
61,243,1.37
61,253,1.39
61,263,1.39
61,273,1.39
61,283,1.38
61,293,1.36
61,303,1.39
61,313,1.38
61,323,1.39
61,333,1.37
