bri,watt
1,1.23
2,1.21
3,1.26
4,1.25
5,1.27
6,1.28
7,1.26
8,1.29
9,1.26
10,1.24
11,1.27
12,1.32
13,1.27
14,1.27
15,1.28
16,1.31
17,1.3
18,1.28
19,1.3
20,1.28
21,1.3
22,1.33
23,1.33
24,1.32
25,1.34
26,1.31
27,1.33
28,1.32
29,1.35
30,1.34
31,1.42
32,1.38
33,1.43
34,1.42
35,1.43
36,1.42
37,1.43
38,1.47
39,1.47
40,1.47
41,1.43
42,1.44
43,1.48
44,1.53
45,1.5
46,1.51
47,1.57
48,1.57
49,1.57
50,1.55
51,1.56
52,1.59
53,1.64
54,1.88
55,1.81
56,1.69
57,1.69
58,1.65
59,1.69
60,1.68
61,1.72
62,1.74
63,1.74
64,1.8
65,1.79
66,1.8
67,1.84
68,1.84
69,1.88
70,1.91
71,1.9
72,1.87
73,1.91
74,1.94
75,1.96
76,2.0
77,2.03
78,2.04
79,2.04
80,2.08
81,2.06
82,2.09
83,2.17
84,2.19
85,2.18
86,2.21
87,2.29
88,2.3
89,2.29
90,2.35
91,2.33
92,2.35
93,2.38
94,2.44
95,2.45
96,2.5
97,2.51
98,2.5
99,2.5
100,2.54
101,2.54
102,2.58
103,2.71
104,2.65
105,2.67
106,2.72
107,2.68
108,2.71
109,2.73
110,2.81
111,2.85
112,2.84
113,2.87
114,2.88
115,2.96
116,2.98
117,3.06
118,3.06
119,3.02
120,3.08
121,3.11
122,3.11
123,3.12
124,3.17
125,3.19
126,3.21
127,3.23
128,3.27
129,3.27
130,3.27
131,3.3
132,3.31
133,3.4
134,3.38
135,3.43
136,3.42
137,3.45
138,3.49
139,3.52
140,3.53
141,3.52
142,3.54
143,3.58
144,3.61
145,3.42
146,3.62
147,3.69
148,3.77
149,3.82
150,3.82
151,3.81
152,3.84
153,3.92
154,3.94
155,3.95
156,3.99
157,3.98
158,4.03
159,4.06
160,4.08
161,4.12
162,4.14
163,4.16
164,4.21
165,4.26
166,4.26
167,4.3
168,4.33
169,4.35
170,4.42
171,4.39
172,4.42
173,4.41
174,4.51
175,4.51
176,4.53
177,4.57
178,4.58
179,4.64
180,4.68
181,4.7
182,4.71
183,4.74
184,4.79
185,4.86
186,4.89
187,4.9
188,4.92
189,4.96
190,5.0
191,5.05
192,4.57
193,4.87
194,5.0
195,5.14
196,5.2
197,5.25
198,5.26
199,5.3
200,5.37
201,5.38
202,5.42
203,5.5
204,5.53
205,5.55
206,5.55
207,5.63
208,5.67
209,5.7
210,5.76
211,5.8
212,5.81
213,5.91
214,5.89
215,6.0
216,6.0
217,6.03
218,6.12
219,6.18
220,6.17
221,6.2
222,6.29
223,6.33
224,6.38
225,6.41
226,6.45
227,6.49
228,6.49
229,6.61
230,6.62
231,6.7
232,6.73
233,6.76
234,6.86
235,6.9
236,7.03
237,7.01
238,6.95
239,4.45
240,6.54
241,7.18
242,7.22
243,7.37
244,7.37
245,7.47
246,7.49
247,7.62
248,7.67
249,7.7
250,7.76
251,7.82
252,7.9
253,7.98
254,8.04
255,8.11
