bri,mired,watt
1,153,1.32
1,163,1.31
1,173,1.3
1,183,1.25
1,193,1.26
1,203,1.24
1,213,1.28
1,223,1.29
1,233,1.26
1,243,1.3
1,253,1.29
1,263,1.29
1,273,1.27
1,283,1.31
1,293,1.3
1,303,1.29
1,313,1.29
1,323,1.27
1,333,1.27
1,343,1.27
1,353,1.26
1,363,1.28
1,373,1.28
1,383,1.29
1,393,1.27
1,403,1.27
1,413,1.27
1,423,1.26
1,433,1.26
1,443,1.25
1,453,1.28
1,454,1.21
6,153,1.21
6,163,1.25
6,173,1.27
6,183,1.29
6,193,1.25
6,203,1.29
6,213,1.28
6,223,1.26
6,233,1.27
6,243,1.31
6,253,1.32
6,263,1.33
6,273,1.32
6,283,1.27
6,293,1.3
6,303,1.31
6,313,1.31
6,323,1.27
6,333,1.27
6,343,1.3
6,353,1.27
6,363,1.26
6,373,1.3
6,383,1.27
6,393,1.28
6,403,1.23
6,413,1.23
6,423,1.21
6,433,1.24
6,443,1.29
6,453,1.29
6,454,1.3
11,153,1.26
11,163,1.25
11,173,1.28
11,183,1.25
11,193,1.28
11,203,1.3
11,213,1.28
11,223,1.28
11,233,1.29
11,243,1.27
11,253,1.26
11,263,1.32
11,273,1.27
11,283,1.31
11,293,1.31
11,303,1.29
11,313,1.29
11,323,1.31
11,333,1.27
11,343,1.29
11,353,1.32
11,363,1.3
11,373,1.28
11,383,1.3
11,393,1.26
11,403,1.27
11,413,1.27
11,423,1.29
11,433,1.27
11,443,1.26
11,453,1.27
11,454,1.3
16,153,1.29
16,163,1.25
16,173,1.28
16,183,1.31
16,193,1.27
16,203,1.27
16,213,1.29
16,223,1.33
16,233,1.3
16,243,1.33
16,253,1.3
16,263,1.33
16,273,1.34
16,283,1.34
16,293,1.29
16,303,1.29
16,313,1.3
16,323,1.32
16,333,1.3
16,343,1.29
16,353,1.32
16,363,1.31
16,373,1.27
16,383,1.26
16,393,1.29
16,403,1.3
16,413,1.32
16,423,1.29
16,433,1.29
16,443,1.28
16,453,1.33
16,454,1.3
21,153,1.31
21,163,1.3
21,173,1.31
21,183,1.34
21,193,1.32
21,203,1.31
21,213,1.29
21,223,1.34
21,233,1.31
21,243,1.34
21,253,1.35
21,263,1.38
21,273,1.4
21,283,1.38
21,293,1.32
21,303,1.36
21,313,1.33
21,323,1.32
21,333,1.34
21,343,1.33
21,353,1.37
21,363,1.33
21,373,1.32
21,383,1.3
21,393,1.29
21,403,1.3
21,413,1.29
21,423,1.3
21,433,1.31
21,443,1.35
21,453,1.31
21,454,1.28
26,153,1.28
26,163,1.37
26,173,1.34
26,183,1.34
26,193,1.35
26,203,1.34
26,213,1.33
26,223,1.34
26,233,1.36
26,243,1.38
26,253,1.36
26,263,1.38
26,273,1.38
26,283,1.4
26,293,1.4
26,303,1.35
26,313,1.39
26,323,1.38
26,333,1.38
26,343,1.38
26,353,1.4
26,363,1.41
26,373,1.38
26,383,1.36
26,393,1.34
26,403,1.35
26,413,1.35
26,423,1.36
26,433,1.35
26,443,1.35
26,453,1.33
26,454,1.36
31,153,1.36
31,163,1.35
31,173,1.35
31,183,1.38
31,193,1.35
31,203,1.38
31,213,1.39
31,223,1.42
31,233,1.4
31,243,1.42
31,253,1.44
31,263,1.46
31,273,1.46
31,283,1.42
31,293,1.47
31,303,1.43
31,313,1.42
31,323,1.41
31,333,1.42
31,343,1.44
31,353,1.41
31,363,1.42
31,373,1.42
31,383,1.39
31,393,1.4
31,403,1.38
31,413,1.4
31,423,1.35
31,433,1.36
31,443,1.36
31,453,1.35
31,454,1.38
36,153,1.39
36,163,1.35
36,173,1.42
36,183,1.45
36,193,1.45
36,203,1.47
36,213,1.45
36,223,1.48
36,233,1.49
36,243,1.48
36,253,1.47
36,263,1.48
36,273,1.5
36,283,1.51
36,293,1.5
36,303,1.49
36,313,1.49
36,323,1.45
36,333,1.45
36,343,1.5
36,353,1.5
36,363,1.49
36,373,1.47
36,383,1.46
36,393,1.42
36,403,1.45
36,413,1.43
36,423,1.45
36,433,1.46
36,443,1.47
36,453,1.45
36,454,1.45
41,153,1.46
41,163,1.44
41,173,1.45
41,183,1.49
41,193,1.5
41,203,1.49
41,213,1.54
41,223,1.51
41,233,1.5
41,243,1.5
41,253,1.57
41,263,1.59
41,273,1.57
41,283,1.58
41,293,1.55
41,303,1.54
41,313,1.53
41,323,1.54
41,333,1.51
41,343,1.53
41,353,1.53
41,363,1.52
41,373,1.5
41,383,1.5
41,393,1.48
41,403,1.48
41,413,1.49
41,423,1.46
41,433,1.48
41,443,1.44
41,453,1.5
41,454,1.45
46,153,1.5
46,163,1.5
46,173,1.49
46,183,1.53
46,193,1.52
46,203,1.54
46,213,1.61
46,223,1.6
46,233,1.64
46,243,1.66
46,253,1.66
46,263,1.7
46,273,1.66
46,283,1.64
46,293,1.63
46,303,1.62
46,313,1.63
46,323,1.58
46,333,1.6
46,343,1.57
46,353,1.56
46,363,1.55
46,373,1.51
46,383,1.52
46,393,1.52
46,403,1.52
46,413,1.55
46,423,1.55
46,433,1.5
46,443,1.48
46,453,1.5
46,454,1.5
51,153,1.52
51,163,1.52
51,173,1.6
51,183,1.58
51,193,1.61
51,203,1.65
51,213,1.67
51,223,1.66
51,233,1.69
51,243,1.71
51,253,1.7
51,263,1.75
51,273,1.75
51,283,1.73
51,293,1.71
51,303,1.71
51,313,1.7
51,323,1.69
51,333,1.68
51,343,1.64
51,353,1.68
51,363,1.65
51,373,1.64
51,383,1.64
51,393,1.62
51,403,1.57
51,413,1.6
51,423,1.61
51,433,1.57
51,443,1.56
51,453,1.56
51,454,1.56
56,153,1.62
56,163,1.59
56,173,1.63
56,183,1.64
56,193,1.68
56,203,1.66
56,213,1.67
56,223,1.78
56,233,1.81
56,243,1.79
56,253,1.8
56,263,1.8
56,273,1.88
56,283,1.81
56,293,1.78
56,303,1.78
56,313,1.79
56,323,1.84
56,333,1.76
56,343,1.72
56,353,1.75
56,363,1.74
56,373,1.75
56,383,1.66
56,393,1.69
56,403,1.68
56,413,1.68
56,423,1.61
56,433,1.63
56,443,1.68
56,453,1.65
56,454,1.61
61,153,1.72
61,163,1.69
61,173,1.7
61,183,1.73
61,193,1.74
61,203,1.77
61,213,1.78
61,223,1.83
61,233,1.9
61,243,1.91
61,253,1.95
61,263,1.96
61,273,1.95
61,283,1.89
61,293,1.93
61,303,1.89
61,313,1.88
61,323,1.85
61,333,1.86
61,343,1.81
61,353,1.82
61,363,1.85
61,373,1.84
61,383,1.78
61,393,1.75
61,403,1.73
61,413,1.74
61,423,1.74
61,433,1.73
61,443,1.72
61,453,1.73
61,454,1.69
66,153,1.77
66,163,1.77
66,173,1.81
66,183,1.81
66,193,1.85
66,203,1.89
66,213,1.9
66,223,1.89
66,233,1.98
66,243,1.99
66,253,2.06
66,263,2.06
66,273,2.04
66,283,2.04
66,293,2.0
66,303,1.95
66,313,1.99
66,323,2.0
66,333,1.97
66,343,1.94
66,353,1.95
66,363,1.9
66,373,1.89
66,383,1.89
66,393,1.89
66,403,1.82
66,413,1.81
66,423,1.81
66,433,1.8
66,443,1.83
66,453,1.8
66,454,1.77
71,153,1.85
71,163,1.82
71,173,1.87
71,183,1.9
71,193,1.96
71,203,1.96
71,213,2.04
71,223,2.02
71,233,2.05
71,243,2.14
71,253,2.21
71,263,2.17
71,273,2.19
71,283,2.17
71,293,2.13
71,303,2.12
71,313,2.1
71,323,2.08
71,333,2.08
71,343,2.04
71,353,2.0
71,363,2.0
71,373,1.99
71,383,1.96
71,393,1.96
71,403,1.93
71,413,1.89
71,423,1.9
71,433,1.87
71,443,1.9
71,453,1.88
71,454,1.86
76,153,1.93
76,163,1.91
76,173,1.95
76,183,1.95
76,193,2.01
76,203,2.06
76,213,2.15
76,223,2.12
76,233,2.19
76,243,2.23
76,253,2.25
76,263,2.27
76,273,2.29
76,283,2.29
76,293,2.3
76,303,2.25
76,313,2.21
76,323,2.21
76,333,2.17
76,343,2.21
76,353,2.15
76,363,2.13
76,373,2.1
76,383,2.1
76,393,2.08
76,403,2.04
76,413,2.01
76,423,1.97
76,433,1.98
76,443,1.97
76,453,1.95
76,454,1.94
81,153,1.99
81,163,2.0
81,173,2.06
81,183,2.08
81,193,2.14
81,203,2.21
81,213,2.19
81,223,2.25
81,233,2.32
81,243,2.33
81,253,2.42
81,263,2.4
81,273,2.4
81,283,2.38
81,293,2.38
81,303,2.33
81,313,2.33
81,323,2.33
81,333,2.32
81,343,2.27
81,353,2.26
81,363,2.27
81,373,2.19
81,383,2.12
81,393,2.17
81,403,2.12
81,413,2.12
81,423,2.08
81,433,2.1
81,443,2.1
81,453,2.1
81,454,2.02
86,153,2.15
86,163,2.13
86,173,2.16
86,183,2.17
86,193,2.25
86,203,2.27
86,213,2.29
86,223,2.37
86,233,2.45
86,243,2.5
86,253,2.53
86,263,2.54
86,273,2.56
86,283,2.5
86,293,2.52
86,303,2.52
86,313,2.46
86,323,2.46
86,333,2.41
86,343,2.4
86,353,2.37
86,363,2.38
86,373,2.35
86,383,2.29
86,393,2.28
86,403,2.27
86,413,2.22
86,423,2.23
86,433,2.23
86,443,2.21
86,453,2.22
86,454,2.12
91,153,2.23
91,163,2.25
91,173,2.27
91,183,2.29
91,193,2.38
91,203,2.41
91,213,2.5
91,223,2.5
91,233,2.54
91,243,2.6
91,253,2.67
91,263,2.67
91,273,2.67
91,283,2.68
91,293,2.67
91,303,2.65
91,313,2.62
91,323,2.6
91,333,2.56
91,343,2.54
91,353,2.52
91,363,2.48
91,373,2.44
91,383,2.42
91,393,2.4
91,403,2.4
91,413,2.35
91,423,2.33
91,433,2.34
91,443,2.31
91,453,2.27
91,454,2.26
96,153,2.37
96,163,2.34
96,173,2.37
96,183,2.48
96,193,2.48
96,203,2.55
96,213,2.58
96,223,2.64
96,233,2.65
96,243,2.73
96,253,2.85
96,263,2.88
96,273,2.85
96,283,2.88
96,293,2.85
96,303,2.79
96,313,2.77
96,323,2.75
96,333,2.75
96,343,2.67
96,353,2.63
96,363,2.62
96,373,2.58
96,383,2.54
96,393,2.54
96,403,2.54
96,413,2.45
96,423,2.43
96,433,2.47
96,443,2.46
96,453,2.38
96,454,2.35
101,153,2.45
101,163,2.49
101,173,2.52
101,183,2.52
101,193,2.62
101,203,2.62
101,213,2.76
101,223,2.77
101,233,2.83
101,243,2.88
101,253,2.98
101,263,3.0
101,273,3.02
101,283,2.98
101,293,2.96
101,303,2.89
101,313,2.88
101,323,2.87
101,333,2.83
101,343,2.78
101,353,2.76
101,363,2.73
101,373,2.71
101,383,2.7
101,393,2.65
101,403,2.6
101,413,2.6
101,423,2.56
101,433,2.56
101,443,2.56
101,453,2.53
101,454,2.48
106,153,2.57
106,163,2.58
106,173,2.65
106,183,2.71
106,193,2.71
106,203,2.81
106,213,2.87
106,223,2.88
106,233,3.02
106,243,3.02
106,253,3.17
106,263,3.17
106,273,3.16
106,283,3.1
106,293,3.08
106,303,3.12
106,313,3.08
106,323,3.04
106,333,3.0
106,343,2.98
106,353,2.92
106,363,2.85
106,373,2.84
106,383,2.83
106,393,2.77
106,403,2.77
106,413,2.75
106,423,2.65
106,433,2.69
106,443,2.69
106,453,2.67
106,454,2.6
111,153,2.71
111,163,2.71
111,173,2.8
111,183,2.85
111,193,2.85
111,203,2.94
111,213,2.98
111,223,3.04
111,233,3.06
111,243,3.17
111,253,3.27
111,263,3.31
111,273,3.29
111,283,3.29
111,293,3.23
111,303,3.23
111,313,3.2
111,323,3.16
111,333,3.1
111,343,3.09
111,353,3.08
111,363,3.0
111,373,2.96
111,383,2.94
111,393,2.94
111,403,2.9
111,413,2.86
111,423,2.81
111,433,2.79
111,443,2.79
111,453,2.79
111,454,2.69
116,153,2.81
116,163,2.8
116,173,2.9
116,183,2.94
116,193,2.96
116,203,3.08
116,213,3.15
116,223,3.18
116,233,3.23
116,243,3.32
116,253,3.38
116,263,3.4
116,273,3.4
116,283,3.42
116,293,3.35
116,303,3.35
116,313,3.33
116,323,3.29
116,333,3.22
116,343,3.21
116,353,3.18
116,363,3.15
116,373,3.1
116,383,3.1
116,393,3.01
116,403,3.02
116,413,2.95
116,423,2.99
116,433,2.94
116,443,2.94
116,453,2.93
116,454,2.83
121,153,2.94
121,163,2.92
121,173,3.0
121,183,3.08
121,193,3.1
121,203,3.17
121,213,3.29
121,223,3.33
121,233,3.34
121,243,3.48
121,253,3.54
121,263,3.58
121,273,3.6
121,283,3.54
121,293,3.51
121,303,3.46
121,313,3.44
121,323,3.46
121,333,3.4
121,343,3.37
121,353,3.35
121,363,3.29
121,373,3.21
121,383,3.21
121,393,3.2
121,403,3.09
121,413,3.08
121,423,3.05
121,433,3.06
121,443,3.06
121,453,3.01
121,454,2.98
126,153,3.0
126,163,3.08
126,173,3.08
126,183,3.18
126,193,3.25
126,203,3.33
126,213,3.42
126,223,3.42
126,233,3.48
126,243,3.6
126,253,3.69
126,263,3.75
126,273,3.77
126,283,3.71
126,293,3.69
126,303,3.67
126,313,3.6
126,323,3.56
126,333,3.56
126,343,3.48
126,353,3.42
126,363,3.34
126,373,3.36
126,383,3.35
126,393,3.25
126,403,3.24
126,413,3.16
126,423,3.19
126,433,3.21
126,443,3.17
126,453,3.13
126,454,3.08
131,153,3.11
131,163,3.13
131,173,3.17
131,183,3.29
131,193,3.34
131,203,3.43
131,213,3.47
131,223,3.52
131,233,3.62
131,243,3.72
131,253,3.85
131,263,3.88
131,273,3.85
131,283,3.85
131,293,3.81
131,303,3.75
131,313,3.72
131,323,3.71
131,333,3.67
131,343,3.58
131,353,3.52
131,363,3.5
131,373,3.48
131,383,3.44
131,393,3.4
131,403,3.36
131,413,3.33
131,423,3.26
131,433,3.27
131,443,3.25
131,453,3.29
131,454,3.15
136,153,3.27
136,163,3.22
136,173,3.31
136,183,3.38
136,193,3.47
136,203,3.48
136,213,3.63
136,223,3.7
136,233,3.79
136,243,3.82
136,253,3.94
136,263,4.01
136,273,4.01
136,283,3.98
136,293,3.94
136,303,3.92
136,313,3.87
136,323,3.88
136,333,3.83
136,343,3.72
136,353,3.75
136,363,3.63
136,373,3.6
136,383,3.54
136,393,3.56
136,403,3.51
136,413,3.44
136,423,3.4
136,433,3.42
136,443,3.37
136,453,3.38
136,454,3.29
141,153,3.38
141,163,3.38
141,173,3.46
